EX_BA-Michail-1 "£apaæ gnoja!"
EX_BA-Michail-2 "Ju¿ po nim."
EX_BB-Michail-1 "Strzelajcie, nie poddawaæ siê!"
EX_BB-Michail-2 "Atakowaæ!"
EX_BC-Michail-1 "Zaraz ciê dopadnê!"
EX_BD-Michail-1 "Uwaga, panzerlangi!"
EX_BD-Michail-2 "Bum! I po celu!"
EX_CA-Michail-1 "No jasne."
EX_CA-Michail-2 "Oczywiœcie."
EX_CA-Michail-3 "Ju¿ siê robi!"
EX_EA-Michail-1 "Skrzynki!"
EX_EA-Michail-2 "Nowe skrzynie!"
EX_EA-Michail-3 "Mo¿e znajdzie siê w tych skrzynkach jakiœ McMuffin?"
EX_EB-Michail-1 "Alaskit!"
EX_EC-Michail-1 "Benzyna!"
EX_ED-Michail-1 "Kim jesteœ?"
EX_EE-Michail-1 "Zauwa¿y³em nieprzyjaciela."
EX_EE-Michail-2 "Wrogowie s¹ wœrod nas!"
EX_FA-Michail-1 "Jakieœ rozkazy, komandorze?"
EX_FA-Michail-2 "Zrobione."
EX_FA-Michail-3 "Skoñczone, towarzyszu."
EX_FB-Michail-1 "Jestem."
EX_FB-Michail-2 "Dotarliœmy."
EX_FC-Michail-1 "Gotów do wymarszu."
EX_FC-Michail-2 "Mogê ruszaæ."
EX_FD-Michail-1 "Wróg wyeliminowany."
EX_FD-Michail-2 "Wróg zneutralizowany."
EX_FE-Michail-1 "Budynek gotowy."
EX_FE-Michail-2 "Zbudowane."
EX_FF-Michail-1 "Pojazd skoñczony."
EX_FF-Michail-2 "Gotowe."
EX_FG-Michail-1 "Banda¿ za³o¿ony!"
EX_FH-Michail-1 "Badania skoñczone."
EX_FI-Michail-1 "Dotarli kolejni poborowi.."
EX_FL-Michail-1 "Pojazd przejêty."
EX_FL-Michail-2 "Przechwyci³em pojazd."
EX_FM-Michail-1 "Nowy budynek."
EX_HA-Michail-1 "Ouch!"
EX_HA-Michail-2 "Aargh!"
EX_IA-Michail-1 "Nudzi mi siê."
EX_IA-Michail-2 "Jest coœ do roboty?"
EX_KA-Michail-1 "Strzelaj¹ do mnie."
EX_KA-Michail-2 "Robi siê gor¹co."
EX_LA-Michail-1 "Polepszy³y siê moje umiejêtnoœci walki."
EX_LA-Michail-2 "Zwiêkszy³y siê moje umiejêtnoœci walki."
EX_LB-Michail-1 "Polepszy³y siê moje umiejêtnoœci mechaniki."
EX_LB-Michail-2 "Zwiêkszy³y siê moje umiejêtnoœci mechaniki."
EX_LC-Michail-1 "Polepszy³y siê moje umiejêtnoœci in¿ynierii."
EX_LC-Michail-2 "Zwiêkszy³y siê moje umiejêtnoœci in¿ynierii."
EX_LD-Michail-1 "Polepszy³y siê moje umiejêtnoœci naukowe."
EX_LD-Michail-2 "Zwiêkszy³y siê moje umiejêtnoœci naukowe."
EX_MA-Michail-1 "Jedziemy!"
EX_MA-Michail-2 "Ruszamy."
EX_NA-Michail-1 "Przykro mi, nie mo¿na tego zrobiæ."
EX_NA-Michail-2 "To niemo¿liwe."
EX_OA-Michail-2 "Ju¿ po nim!"
EX_OA-Michail-3 "Rozwaliæ go!"
EX_OF-Michail-1 "Zajmê siê budow¹."
EX_OG-Michail-1 "Spróbujê pomóc."
EX_OH-Michail-1 "Zbadam to."
EX_RA-Michail-1 "Tak?"
EX_RA-Michail-2 "Gotów?"
EX_RB-Michail-2 "Braæ ich!"
EX_RC-Michail-1 "Gotowy do jazdy!"
EX_RC-Michail-2 "Wóz gotowy do jazdy."
EX_RC-Michail-3 "Gotów do wymarszu."
EX_UA-Michail-1 "Robi siê szaro."
EX_UA-Michail-2 "Potrzebujê lekarza!"
EX_WA-Michail-1 "A³a, to boli!"
EX_WA-Michail-2 "Chyba umieram..."
EX_XA-Michail-1 "Coœ jest na drodze."
EX_XB-Michail-1 "Z³o¿e alaskitu zosta³o zniszczone."
EX_XC-Michail-1 "le siê czujê."
EX_XD-Michail-1 "Mam ma³o paliwa."
EX_XE-Michail-1 "Nie mam wiêcej paliwa."
EX_XE-Michail-2 "Skoñczy³o mi siê paliwo."
